"method_key","method","bias","mad","mse","mape","rsfe","tracking_signal","next_period_forecast","status"
"naive","Naive Forecasting",17.2648186528497,19.209274611399,1567.67740569948,2.45215272647717,3332.11,173.463603775163,3429.99,"Applied"
"moving_average","Moving Average",34.2346771378709,36.0039267015707,4747.23086800465,4.19623325838779,6538.82333333333,181.614171907757,3333.35666666667,"Applied"
"weighted_moving_average","Weighted Moving Average",39.2291518324607,41.1806387434555,6116.9541997068,4.77558878269202,7492.768,181.948804793388,3300.962,"Applied"
"exponential_smoothing","Exponential Smoothing",54.4636307284127,55.0214001953848,9818.66949346544,5.72950912283162,10511.4807305836,191.043497498367,3251.32421917509,"Applied"
"trend_adjusted_smoothing","Trend-Adjusted Exponential Smoothing",-11.5933111966006,21.6626167762799,1508.64913890098,2.70296451615283,-2237.50906094392,-103.288955533477,3467.96627433688,"Applied"
"linear_trend","Linear Trend Projection",-1.88703577391701e-14,442.069618157034,276560.166651087,159.050792433659,-3.68061137123732e-12,-8.32586366505257e-15,1927.10387692965,"Applied"
"seasonal_indices","Seasonal Indices",-9.94131153904873,17.9161741426096,1267.55593048384,3.01380064566623,-1819.26001164592,-101.542885058212,2683.22656561522,"Applied"
"additive_decomposition","Additive Decomposition",-2.02809866898145,19.0280494537292,1070.62149305946,4.5889186528564,-369.113957754625,-19.3984127827818,3002.72168200231,"Applied"
"multiplicative_decomposition","Multiplicative Decomposition",-1.90508523402741,16.2226629331452,1035.65170267298,2.7060171816436,-346.725512592989,-21.3729098620782,2994.10295891802,"Applied"
"regression_seasonal","Regression with Trend and Seasonal Dummies",5.73321459036069e-14,441.52111948346,275882.824076903,158.985784011,1.10844666778576e-11,2.51051788662463e-14,1893.53665322581,"Applied"
